0:0:0:0:0:0:0:1 - - [07/Dec/2023:10:48:17 +0900] "GET /resources/template/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:18:24 +0900] "GET /board/viewArticle?seq=21&pid=29 HTTP/1.1" 200 20750
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:18:24 +0900] "GET /resources/board/f1a64cb6-2117-4a3c-bcc7-f3525fef8c72.jpg HTTP/1.1" 200 119817
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:18:24 +0900] "GET /resources/board/81de3dd5-d18b-427e-b3fb-4c15c10f0b7f.jpg HTTP/1.1" 200 64257
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/toList HTTP/1.1" 200 36403
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/js/jquery/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/template/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/template/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/image/replyArrow.png HTTP/1.1" 200 39915
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/template/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:20:33 +0900] "GET /resources/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 588931
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /board/toList HTTP/1.1" 200 36421
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /resources/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 232855
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /resources/js/jquery/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /resources/template/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /resources/template/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [07/Dec/2023:11:22:11 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
